pct,pollscore,pollster,state,end_date,transparency_score,party
43.74068801575515,-0.8916333343594647,Marist,New Hampshire,2024-10-10,10,GRE
44.85773366214912,-0.7912106702322631,Marist,Minnesota,2024-10-14,3.5,REP
38.762432039886335,-1.2748857173643882,Ipsos,New York,2024-10-10,8.5,DEM
41.0715201418941,-1.1929210517516728,SurveyUSA,Wisconsin,2024-10-10,8,GRE
41.49025599083602,-0.967243768473171,Emerson,North Carolina,2024-10-13,8.5,LIB
51.218465138605524,-1.4024133591977215,Emerson,Arizona,2024-10-13,4.5,IND
40.14109612743974,-1.4290704509813177,Beacon/Shaw,Nebraska,2024-10-11,6,REP
43.25876770427296,-1.0532409577520088,Ipsos,Nevada,2024-10-06,10,DEM
43.04703643856779,-0.9301801687485157,Marist,Maryland,2024-10-08,10,DEM
42.114661437809445,-0.9852249749336823,Siena/NYT,National,2024-10-07,4.5,DEM
50.840723645348284,-0.954621186930517,Marist,Virginia,2024-10-10,6,DEM
42.61312299095182,-1.020028648979676,Siena/NYT,Wisconsin,2024-10-05,8.5,GRE
45.228191293411804,-1.3764108597607319,Emerson,Maryland,2024-10-06,8,GRE
44.0904931143201,-0.9550437485301805,Beacon/Shaw,Minnesota,2024-10-15,2,REP
46.15152787571945,-0.9014479107569777,Beacon/Shaw,Connecticut,2024-10-06,8.5,IND
43.47062011578219,-0.9589236326340819,YouGov,North Carolina,2024-10-12,5,DEM
43.86988879829487,-1.3833669755053242,Marist,New Hampshire,2024-10-10,10,DEM
45.40094189948656,-0.9160878552801675,Siena/NYT,New York,2024-10-09,4.5,IND
47.948372193188035,-0.9754213940749981,Marist,Washington,2024-10-06,0,IND
46.19868938041074,-0.9709007916070713,SurveyUSA,Florida,2024-10-06,2,GRE
45.040022109818324,-0.7256836941125855,Siena/NYT,North Carolina,2024-10-14,5,REP
40.130267031790815,-1.1803409897868034,Ipsos,Florida,2024-10-05,9.5,LIB
46.75634175728318,-0.8329567428340561,Quinnipiac,Wisconsin,2024-10-13,3.5,LIB
48.76726146208041,-0.76479246368931,Beacon/Shaw,Massachusetts,2024-10-08,5.5,REP
38.1127068955225,-1.2392679077337982,Beacon/Shaw,California,2024-10-06,4.5,REP
40.5734811026192,-1.127409130487818,Marist,National,2024-10-10,5,LIB
39.740856262001046,-1.0787100695925218,Siena/NYT,Maryland,2024-10-13,8,DEM
49.26783711853365,-1.0067415307893255,SurveyUSA,California,2024-10-09,4,LIB
41.832676388197626,-1.0977607555300248,YouGov,New Hampshire,2024-10-09,2.5,REP
46.25990471503088,-0.9784708470110735,YouGov,New Hampshire,2024-10-07,3,IND
46.435584495400306,-0.8071304601749971,Siena/NYT,New York,2024-10-12,6,DEM
49.361325826801334,-1.3160958431827807,Emerson,Virginia,2024-10-12,7,IND
41.136778131912926,-1.1070546683955136,Marist,Montana,2024-10-14,9,IND
45.47758111822214,-1.2976836819521622,Quinnipiac,Massachusetts,2024-10-14,4,DEM
46.56598467338557,-0.9771268882550659,Marist,New Mexico,2024-10-05,6.5,IND
37.242020732268905,-0.8530956750719427,Beacon/Shaw,Florida,2024-10-05,1.5,GRE
42.95513225778224,-0.9535255809599112,Marist,New Mexico,2024-10-12,6,LIB
41.309426175416085,-1.132400124664128,SurveyUSA,Missouri,2024-10-15,6,GRE
49.40925006270287,-1.0649047676702041,Marist,Michigan,2024-10-06,6,LIB
44.70347584239967,-0.9983024895234162,Marist,New York,2024-10-09,0,DEM
41.99738323560696,-1.1934007372512143,Beacon/Shaw,National,2024-10-05,1,GRE
42.89912845121496,-0.8992821794675523,Siena/NYT,Minnesota,2024-10-12,8.5,REP
47.53218783900361,-1.075346951616068,YouGov,Nebraska,2024-10-08,7,IND
45.762312926732804,-0.8225081742683764,SurveyUSA,Minnesota,2024-10-14,8,LIB
47.13762093383331,-0.942721855807974,Quinnipiac,California,2024-10-09,8.5,LIB
44.59616785078802,-1.2899742597223236,Marist,Nevada,2024-10-11,2,IND
44.87278775052177,-1.1595788566768575,Marist,Texas,2024-10-12,9.5,LIB
38.490047707760326,-0.9349128016466942,Marist,Virginia,2024-10-10,0.5,GRE
42.041559402421456,-0.8909093047264225,Quinnipiac,Nebraska,2024-10-07,5.5,DEM
49.65751030368908,-1.1897375903769696,Marist,North Carolina,2024-10-10,4,GRE
41.68508815010181,-0.8142190229781826,Beacon/Shaw,Ohio,2024-10-08,5.5,GRE
43.722387733023446,-0.5503781908614278,SurveyUSA,Maryland,2024-10-06,9,REP
46.994074982162985,-0.6237748096251464,Marist,Virginia,2024-10-14,0.5,DEM
45.12102363772347,-0.965943778039144,Quinnipiac,Rhode Island,2024-10-11,7,LIB
50.72467758117231,-0.691569196824122,Quinnipiac,North Carolina,2024-10-11,0,LIB
43.38364315398102,-1.0297784574071949,SurveyUSA,Pennsylvania,2024-10-14,4.5,REP
43.06469066449482,-1.0667662671310842,Ipsos,Maryland,2024-10-10,6.5,LIB
43.82615479400197,-0.5304723958535862,Quinnipiac,Texas,2024-10-11,6,IND
47.036156185318426,-0.7649001239476947,Emerson,Iowa,2024-10-15,8,GRE
44.488524559396474,-0.9705961331399465,Emerson,Arizona,2024-10-05,9.5,IND
41.7667939514453,-1.2520798109158624,SurveyUSA,Massachusetts,2024-10-06,3.5,LIB
44.015650295950394,-1.1580168650702114,Beacon/Shaw,Indiana,2024-10-07,5.5,GRE
47.27850188843646,-0.6491625920477766,SurveyUSA,National,2024-10-15,0.5,IND
41.23560790958618,-1.1186790796980601,Marist,New Hampshire,2024-10-13,3.5,LIB
44.92120934123973,-1.3443336854118453,Emerson,Indiana,2024-10-12,9.5,GRE
44.478350017766736,-0.8806387229851563,Beacon/Shaw,New Hampshire,2024-10-08,3.5,LIB
44.235128123056775,-1.1923659696403717,YouGov,Arizona,2024-10-08,8,IND
44.1321512245601,-1.236895441174655,Marist,New Mexico,2024-10-12,6,LIB
45.38320516718033,-0.8175036969688532,SurveyUSA,Wisconsin,2024-10-07,6,DEM
45.53643540952185,-0.9890403806102234,Emerson,North Carolina,2024-10-06,1,IND
54.07065248061418,-1.4056988502439787,Beacon/Shaw,North Carolina,2024-10-15,6,DEM
42.32829313583197,-0.8463822950404969,Emerson,Florida,2024-10-13,9.5,REP
49.705266489468315,-0.9583952263299942,Ipsos,Wisconsin,2024-10-06,6.5,REP
43.681539897545605,-1.020022554853366,Siena/NYT,Washington,2024-10-09,5,DEM
40.166630987356946,-0.712449054465061,Quinnipiac,Pennsylvania,2024-10-13,9.5,REP
42.70086801612805,-1.046437196471618,Marist,Iowa,2024-10-07,3.5,DEM
45.60907893006929,-0.9279377349414774,Quinnipiac,Pennsylvania,2024-10-15,4.5,IND
48.948097166816794,-1.0057933308669076,Siena/NYT,Minnesota,2024-10-07,5,DEM
44.75908598439524,-1.3697450744636483,Siena/NYT,Florida,2024-10-13,4.5,GRE
47.18197868195095,-0.6505609767367233,SurveyUSA,Maryland,2024-10-11,3,IND
47.46632738673408,-1.0845146669040395,Ipsos,Wisconsin,2024-10-12,2,LIB
41.979803649415736,-0.8793849808211157,Marist,Wisconsin,2024-10-09,9.5,DEM
43.81478771409557,-0.7690757395147408,SurveyUSA,New Mexico,2024-10-11,3.5,IND
44.378496505549926,-0.9580908667747641,SurveyUSA,North Carolina,2024-10-10,1,IND
40.02603060918158,-1.2327572275551746,Quinnipiac,National,2024-10-15,4,GRE
44.71969781555606,-0.9514482692511771,Quinnipiac,Nebraska,2024-10-10,6.5,GRE
39.20295696948334,-0.996506868559308,Emerson,Ohio,2024-10-14,7.5,REP
44.639328893708004,-0.9368003145081367,Ipsos,Michigan,2024-10-06,5.5,GRE
47.78007374534552,-0.7663633500958328,Emerson,Maryland,2024-10-12,7,GRE
47.56078664757006,-1.2831304169573796,SurveyUSA,Massachusetts,2024-10-06,1,DEM
45.12630836954987,-1.0183031854269478,Quinnipiac,Massachusetts,2024-10-06,6,REP
41.461427809256826,-1.251234687805125,Beacon/Shaw,Iowa,2024-10-07,6,GRE
